=== Ver3 GUI Log Started at 2025-10-09 17:30:13 ===
[2025-10-09 17:30:13] [INFO] API client initialized successfully
[2025-10-09 17:30:16] [INFO] Dry-run mode disabled
[2025-10-09 17:30:19] [INFO] Bot started successfully
[2025-10-09 17:30:23] [INFO] GUI Trading Bot V3 initialized
[2025-10-09 17:30:23] [INFO] Bot main loop started
[2025-10-09 17:30:23] [INFO] === Analysis Cycle #1 - 2025-10-09 17:30:19 ===
[2025-10-09 17:30:23] [INFO] Analyzing all coins...
[2025-10-09 17:30:23] [INFO]   [SOL] BULLISH | Score: 0/4 | Action: HOLD
[2025-10-09 17:30:23] [INFO]   [XRP] BULLISH | Score: 1/4 | Action: HOLD
[2025-10-09 17:30:23] [INFO]   [ETH] BULLISH | Score: 1/4 | Action: HOLD
[2025-10-09 17:30:23] [INFO] Making portfolio decisions...
[2025-10-09 17:30:23] [INFO] No trading actions required (HOLD)
[2025-10-09 17:30:23] [INFO] ------------------------------------------------------------
[2025-10-09 17:30:23] [INFO] Portfolio Summary
[2025-10-09 17:30:23] [INFO]   Positions: 0/2
[2025-10-09 17:30:23] [INFO]   Total P&L: +0 KRW
[2025-10-09 17:30:23] [INFO] Per-Coin Status:
[2025-10-09 17:30:23] [INFO]   [ETH] BULLISH  | Score: 1/4 | Action: HOLD
[2025-10-09 17:30:23] [INFO]   [XRP] BULLISH  | Score: 1/4 | Action: HOLD
[2025-10-09 17:30:23] [INFO]   [SOL] BULLISH  | Score: 0/4 | Action: HOLD
[2025-10-09 17:30:23] [INFO] ------------------------------------------------------------
[2025-10-09 17:30:23] [INFO] Cycle completed in 0.21s. Sleeping 900s until next cycle...
[2025-10-09 17:35:33] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:35:33] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:35:38] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:35:38] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:35:44] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:35:44] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:35:49] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:35:49] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:35:54] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:35:54] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:00] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:36:00] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:05] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:36:05] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:10] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:36:10] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:16] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:36:16] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:21] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:36:21] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:26] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:36:26] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:32] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:36:32] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:37] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:36:37] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:42] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:36:42] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:36:48] [WARNING] XRP: No position data found - P&L will show 0%
